1/10/19,Valentino,64.07
2/10/19,Valentino,396.3
3/10/19,Valentino,450.45
5/10/19,Valentino,373.87
6/10/19,Valentino,246.28
7/10/19,Valentino,15.32
8/10/19,KFC,13.1
9/10/19,KFC,215.99
10/10/19,KFC,155.62
11/10/19,SaladStop,766.53
12/10/19,SimplyWraps,6.22
14/10/19,Subway,405.94
15/10/19,SaladStop,637.83
16/10/19,SimplyWraps,330.83
17/10/19,Subway,26.35
18/10/19,SaladStop,266.8
19/10/19,SimplyWraps,107.16
20/10/19,Subway,162.46
21/10/19,Burberry,1162.24
23/10/19,Burberry,540.35
24/10/19,Burberry,406.71
25/10/19,Burberry,459.1
26/10/19,Burberry,625.37
27/10/19,Burberry,558.66
28/10/19,Burberry,252.9
29/10/19,Burberry,1538.48
30/10/19,Lazada,358.41
31/10/19,Lazada,101.96
1/11/19,Lazada,920.55
2/11/19,Lazada,222.04
3/11/19,Lazada,10.26
5/11/19,Lazada,177.6
6/11/19,Lazada,89.96
7/11/19,Lazada,6.67
8/11/19,Uniqlo,437.51
10/11/19,Uniqlo,215.02
11/11/19,Uniqlo,165.7
12/11/19,Uniqlo,9.34
13/11/19,Uniqlo,87.77
14/11/19,Uniqlo,10.64
15/11/19,Uniqlo,60.05
